Tester	Environment	QuestionCode	Score
ying	noexplanation	T1	8
ying	noexplanation	T2	8
ying	noexplanation	T3	8
ying	noexplanation	CL1	2
ying	noexplanation	CL2	9
ying	noexplanation	CL3	3
ying	visualexplanation	EQ1	8
ying	visualexplanation	EQ2	8
ying	visualexplanation	EQ3	7
ying	visualexplanation	T1	9
ying	visualexplanation	T2	8
ying	visualexplanation	T3	9
ying	visualexplanation	CL1	1
ying	visualexplanation	CL2	8
ying	visualexplanation	CL3	8
ying	vocalexplanation	EQ1	5
ying	vocalexplanation	EQ2	7
ying	vocalexplanation	EQ3	9
ying	vocalexplanation	T1	8
ying	vocalexplanation	T2	8
ying	vocalexplanation	T3	8
ying	vocalexplanation	CL1	8
ying	vocalexplanation	CL2	8
ying	vocalexplanation	CL3	5
ying	vvexplanation	EQ1	6
ying	vvexplanation	EQ2	8
ying	vvexplanation	EQ3	8
ying	vvexplanation	T1	9
ying	vvexplanation	T2	7
ying	vvexplanation	T3	9
ying	vvexplanation	CL1	6
ying	vvexplanation	CL2	9
ying	vvexplanation	CL3	3
xiaoran	noexplanation	EQ1	8
xiaoran	noexplanation	EQ2	9
xiaoran	noexplanation	EQ3	7
xiaoran	noexplanation	T1	9
xiaoran	noexplanation	T2	6
xiaoran	noexplanation	T3	9
xiaoran	noexplanation	CL1	2
xiaoran	noexplanation	CL2	9
xiaoran	noexplanation	CL3	2
xiaoran	visualexplanation	EQ1	7
xiaoran	visualexplanation	EQ2	7
xiaoran	visualexplanation	EQ3	8
xiaoran	visualexplanation	T1	7
xiaoran	visualexplanation	T2	9
xiaoran	visualexplanation	T3	7
xiaoran	visualexplanation	CL1	4
xiaoran	visualexplanation	CL2	6
xiaoran	visualexplanation	CL3	2
xiaoran	vocalexplanation	EQ1	6
xiaoran	vocalexplanation	EQ2	8
xiaoran	vocalexplanation	EQ3	7
xiaoran	vocalexplanation	T1	9
xiaoran	vocalexplanation	T2	8
xiaoran	vocalexplanation	T3	6
xiaoran	vocalexplanation	CL1	2
xiaoran	vocalexplanation	CL2	6
xiaoran	vocalexplanation	CL3	1
xiaoran	vvexplanation	EQ1	9
xiaoran	vvexplanation	EQ2	8
xiaoran	vvexplanation	EQ3	7
xiaoran	vvexplanation	T1	9
xiaoran	vvexplanation	T2	7
xiaoran	vvexplanation	T3	9
xiaoran	vvexplanation	CL1	4
xiaoran	vvexplanation	CL2	6
xiaoran	vvexplanation	CL3	2
truth	visualexplanation	EQ1	7
truth	visualexplanation	EQ2	6
truth	visualexplanation	EQ3	7
truth	visualexplanation	T1	4
truth	visualexplanation	T2	4
truth	visualexplanation	T3	4
truth	visualexplanation	CL1	6
truth	visualexplanation	CL2	4
truth	visualexplanation	CL3	4
truth	vvexplanation	EQ1	7
truth	vvexplanation	EQ2	3
truth	vvexplanation	EQ3	7
truth	vvexplanation	T1	3
truth	vvexplanation	T2	3
truth	vvexplanation	T3	3
truth	vvexplanation	CL1	6
truth	vvexplanation	CL2	4
truth	vvexplanation	CL3	2
Jan	noexplanation	EQ1	5
Jan	noexplanation	EQ2	4
Jan	noexplanation	EQ3	5
Jan	noexplanation	T1	7
Jan	noexplanation	T2	6
Jan	noexplanation	T3	6
Jan	noexplanation	CL1	4
Jan	noexplanation	CL2	4
Jan	noexplanation	CL3	5
Jan	vocalexplanation	EQ1	6
Jan	vocalexplanation	EQ2	6
Jan	vocalexplanation	EQ3	7
Jan	vocalexplanation	T1	6
Jan	vocalexplanation	T2	6
Jan	vocalexplanation	T3	6
Jan	vocalexplanation	CL1	3
Jan	vocalexplanation	CL2	3
Jan	vocalexplanation	CL3	3
ann	noexplanation	EQ1	6
ann	noexplanation	EQ2	5
ann	noexplanation	EQ3	5
ann	noexplanation	T1	6
ann	noexplanation	T2	7
ann	noexplanation	T3	6
ann	noexplanation	CL1	4
ann	noexplanation	CL2	5
ann	noexplanation	CL3	5
Jan	visualexplanation	EQ1	5
Jan	visualexplanation	EQ2	5
Jan	visualexplanation	EQ3	5
Jan	visualexplanation	T1	6
Jan	visualexplanation	T2	6
Jan	visualexplanation	T3	6
Jan	visualexplanation	CL1	2
Jan	visualexplanation	CL2	2
Jan	visualexplanation	CL3	4
Jan	vvexplanation	EQ1	6
Jan	vvexplanation	EQ2	6
Jan	vvexplanation	EQ3	6
Jan	vvexplanation	T1	7
Jan	vvexplanation	T2	6
Jan	vvexplanation	T3	7
Jan	vvexplanation	CL1	4
Jan	vvexplanation	CL2	4
Jan	vvexplanation	CL3	4
leo	vocalexplanation	EQ1	9
leo	vocalexplanation	EQ2	5
leo	vocalexplanation	EQ3	5
leo	vocalexplanation	T1	3
leo	vocalexplanation	T2	3
leo	vocalexplanation	T3	1
leo	vocalexplanation	CL1	1
leo	vocalexplanation	CL2	3
leo	vocalexplanation	CL3	1
ann	vocalexplanation	EQ1	8
ann	vocalexplanation	EQ2	8
ann	vocalexplanation	EQ3	8
ann	vocalexplanation	T1	8
ann	vocalexplanation	T2	6
ann	vocalexplanation	T3	7
ann	vocalexplanation	CL1	3
ann	vocalexplanation	CL2	4
ann	vocalexplanation	CL3	5
ann	visualexplanation	EQ1	5
ann	visualexplanation	EQ2	4
ann	visualexplanation	EQ3	5
ann	visualexplanation	T1	5
ann	visualexplanation	T2	3
ann	visualexplanation	T3	5
ann	visualexplanation	CL1	2
ann	visualexplanation	CL2	3
ann	visualexplanation	CL3	3
ann	vvexplanation	EQ1	7
ann	vvexplanation	EQ2	8
ann	vvexplanation	EQ3	7
ann	vvexplanation	T1	8
ann	vvexplanation	T2	6
ann	vvexplanation	T3	6
ann	vvexplanation	CL1	3
ann	vvexplanation	CL2	4
ann	vvexplanation	CL3	3
Alain	noexplanation	EQ1	8
Alain	noexplanation	EQ2	8
Alain	noexplanation	EQ3	5
Alain	noexplanation	T1	5
Alain	noexplanation	T2	5
Alain	noexplanation	T3	5
Alain	noexplanation	CL1	5
Alain	noexplanation	CL2	5
Alain	noexplanation	CL3	5
Alain	vocalexplanation	EQ1	8
Alain	vocalexplanation	EQ2	8
Alain	vocalexplanation	EQ3	8
Alain	vocalexplanation	T1	10
Alain	vocalexplanation	T2	6
Alain	vocalexplanation	T3	10
Alain	vocalexplanation	CL1	9
Alain	vocalexplanation	CL2	1
Alain	vocalexplanation	CL3	0
Alain	visualexplanation	EQ1	5
Alain	visualexplanation	EQ2	5
Alain	visualexplanation	EQ3	5
Alain	visualexplanation	T1	10
Alain	visualexplanation	T2	10
Alain	visualexplanation	T3	10
Alain	visualexplanation	CL1	10
Alain	visualexplanation	CL2	2
Alain	visualexplanation	CL3	5
Alain	vvexplanation	EQ1	8
Alain	vvexplanation	EQ2	8
Alain	vvexplanation	EQ3	5
Alain	vvexplanation	T1	5
Alain	vvexplanation	T2	5
Alain	vvexplanation	T3	5
Alain	vvexplanation	CL1	9
Alain	vvexplanation	CL2	1
Alain	vvexplanation	CL3	1
leo	visualexplanation	EQ1	9
leo	visualexplanation	EQ2	3
leo	visualexplanation	EQ3	5
leo	visualexplanation	T1	3
leo	visualexplanation	T2	3
leo	visualexplanation	T3	3
leo	visualexplanation	CL1	0
leo	visualexplanation	CL2	4
leo	visualexplanation	CL3	0
leo	vvexplanation	EQ1	9
leo	vvexplanation	EQ2	8
leo	vvexplanation	EQ3	6
leo	vvexplanation	T1	5
leo	vvexplanation	T2	8
leo	vvexplanation	T3	3
leo	vvexplanation	CL1	0
leo	vvexplanation	CL2	6
leo	vvexplanation	CL3	0
so	noexplanation	EQ1	7
so	noexplanation	EQ2	4
so	noexplanation	EQ3	7
so	noexplanation	T1	2
so	noexplanation	T2	1
so	noexplanation	T3	2
so	noexplanation	CL1	7
so	noexplanation	CL2	1
so	noexplanation	CL3	0
